City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
221,Ballina,AU,2020-05-08 22:23:06,-28.87,153.57,66.0,93,40,6.69,scattered clouds,0,0
222,Doha,QA,2020-05-08 22:23:06,25.29,51.53,84.2,35,96,9.17,overcast clouds,0,0
223,Kumano,JP,2020-05-08 22:23:06,34.34,132.59,64.4,71,100,10.29,overcast clouds,0,0
224,Ko Samui,TH,2020-05-08 22:23:07,9.54,99.94,84.2,83,20,8.59,few clouds,0,0
225,Lakhipur,IN,2020-05-08 22:23:07,26.03,90.3,71.64,56,0,7.76,clear sky,0,0
226,Andenes,NO,2020-05-08 22:23:07,69.31,16.12,30.2,92,100,5.82,overcast clouds,0,0
227,Niamtougou,TG,2020-05-08 22:23:07,9.77,1.11,78.8,78,20,6.93,few clouds,0,0
228,Ormara,PK,2020-05-08 22:23:07,25.21,64.64,80.69,85,0,4.7,clear sky,0,0
229,Tairua,NZ,2020-05-08 22:23:07,-37.02,175.85,61.0,71,23,5.77,few clouds,0,0
230,Kupang,ID,2020-05-08 22:23:07,-10.17,123.58,75.2,78,20,8.05,few clouds,0,0
231,Zhangjiakou,CN,2020-05-08 22:23:08,40.81,114.88,55.58,59,100,6.06,overcast clouds,0,0
232,La Cruz,MX,2020-05-08 22:23:08,23.92,-106.9,88.0,32,2,5.01,clear sky,0,0
233,Luderitz,NA,2020-05-08 22:20:26,-26.65,15.16,53.6,100,0,9.4,clear sky,0,0
234,Novouzensk,RU,2020-05-08 22:23:08,50.46,48.14,58.39,95,100,5.53,moderate rain,0,0
235,Naze,JP,2020-05-08 22:20:53,28.37,129.48,73.4,88,40,14.99,scattered clouds,0,0
236,Chara,RU,2020-05-08 22:23:09,56.91,118.26,33.82,82,58,4.63,broken clouds,0,0
237,Hami,CN,2020-05-08 22:19:40,42.8,93.45,59.07,27,0,7.18,clear sky,0,0
238,Campoverde,PE,2020-05-08 22:23:09,-8.48,-74.81,78.8,57,75,11.41,broken clouds,0,0
239,Lichtenburg,ZA,2020-05-08 22:23:09,-26.15,26.16,55.69,35,98,4.76,overcast clouds,0,0
240,Saint-Augustin,CA,2020-05-08 22:20:40,51.23,-58.65,34.9,98,100,6.04,overcast clouds,0,0
241,Erzin,TR,2020-05-08 22:23:09,36.96,36.2,64.0,79,99,10.0,overcast clouds,0,0
242,Misratah,LY,2020-05-08 22:22:41,32.38,15.09,64.6,76,69,14.56,broken clouds,0,0
243,Darnah,LY,2020-05-08 22:23:10,32.77,22.64,63.03,70,0,14.88,clear sky,0,0
244,Mirnyy,RU,2020-05-08 22:23:10,62.54,113.96,26.6,53,1,6.71,clear sky,0,0
245,Dicabisagan,PH,2020-05-08 22:23:10,17.08,122.42,79.47,81,81,2.35,broken clouds,0,0
